С,Часы звонков,1 курс,,1 курс,,,,1 курс,,1 курс,,,,1 курс,,,,,,1 курс,,,,1 курс,,,1 курс,,,,2 курс,,,,2 курс,,,,2 курс,,,,,,2 курс,,,,2 курс,,,,,2 курс,,,,3 курс,,,,,,,,3 курс,,,,,,3 курс,,,,,,3 курс,,,3 курс,,,3 курс,,3 курс,,,,4 курс,,,,,,,,,,,,,,4 курс,,,,,,4 курс,,,,,,,,,,4 курс,,,,5 курс,,6 курс
,,,,,,,,,,,,,,,,,,,,,,,,Русский язык доц. Козельская Н.А. (ДО),,,,,,Ин.яз. преп. Семенов В.П.  (ДО),,,,,,,,,,,,,,,ДМ ст.преп. Толкачев А.В. 384,Электричество и магнетизм доц. Григорян Г.С. 141,Основы Python  доц. Михайлюк Е.А. 303П,ПЗ в ИБ асс. Хакимов Л.Н. 301П,,,Компьютерная геометрия и графика асс. Пауков Н.В. 293,,,Основы Python проф. Дылевский А.В. 381,КГ и ГМ доц. Хлебостроев В.Г. 383,Ин.яз. преп. Гавриш О.А. 309П,Параллельное программирование ст.преп. Романов А.В. 314П,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Насонов, ауд. 21",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сидоренко, ауд. 22",,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Кречун, ауд. 44",,,,Основы военной подготовки доц. Скоробогатова Л.Г. (ДО),,,,,,,,,,,,,,,Методы оптимизации доц. Белоусова Е.П. 504П,,,,,,,,,ТОИ ст.преп. Акимов А.В. 297,,Термодинамика доц. Крыловецкая Т.А. 479,,Термодинамика доц. Крыловецкая Т.А. 479,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. 291,,,Моделирование систем ст.преп. Швырева А.В. 387,,,Администрирование ИС асс. Петров Ю.В. 385,,,,,,,,,Термодинамика доц. Крыловецкая Т.А. 479,Термодинамика доц. Крыловецкая Т.А. 479,,,,Лингвистические основы информатики  доц. Вахтин А.А. 316П,Лингвистические основы информатики  доц. Вахтин А.А. 316П,Алгоритмы коррекции ошибок проф. Клинских А.Ф.  505П,,,,
,15:10-16:45,История России (id=1444) доц. Лавлинский С.А. (ДО),,,,,,,,История России (id=1444) доц. Лавлинский С.А. (ДО) ,,,,,,,,История России (id=1444) доц. Лавлинский С.А. (ДО) ,,,,История России (id=1444) доц. Лавлинский С.А. (ДО) ,,История России (id=1444) доц. Лавлинский С.А. (ДО) ,,,История России (id=1444) доц. Лавлинский С.А. (ДО) ,,,,,,,,,,Физическая культура и спорт,,Физическая культура и спорт,,,,,,ПЗ в ИБ асс. Хакимов Л.Н. 301П,Технологии и методы програм. доц. Хлебостроев В.Г. 382,ДМ ст.преп. Толкачев А.В. 314П,Электричество и магнетизм доц. Григорян Г.С. 141,Основы информационной безопасности  асс. Канюс А.С. 383,,Физическая культура и спорт,,,Математический анализ доц. Канищева О.И. 505П,,,,Военная подготовка,,,,,,,,,,,,,,,,,,,,,,,Теория вероятностей и математическая статистика ст.преп. Голованов Д.Ю. 408П,,,"Основы военной подготовки, 10 корпус, ул. Никитинская 14Б,  Сапронов, ауд. 31",,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. 297,Технологии искусственного интеллекта  доц. Илларионов И.В. 297,Обработка сигналов в информационных системах доц. Борисов Д.Н. 292,,Моделирование систем ст.преп. Швырева А.В. 385,Моделирование систем ст.преп. Швырева А.В. 385,ТОИ ст.преп. Акимов А.В. 291,,,,КПО доц. Вахтин А.А. 295,КПО доц. Вахтин А.А. 295,,,Экономика программной инженерии преп. Полянский В.В. 477,,,,,,Администрирование и управление безопасностью интранет- сетей доц. Чернышов М.К. 290,Администрирование и управление безопасностью интранет- сетей доц. Чернышов М.К. 290,Безопасность систем баз данных проф. Храмов В.Ю. 316П,Безопасность систем баз данных проф. Храмов В.Ю. 316П,,,,,,,,,,Ин.яз. преп. Семенов В.П.  309П,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Электричество и магнетизм доц. Григорян Г.С. 141,,ПЗ в ИБ асс. Хакимов Л.Н. 301П,Основы Python доц. Михайлюк Е.А. 314П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. 291,,Обработка сигналов в информационных системах доц. Борисов Д.Н. 293,Обработка сигналов в информационных системах доц. Борисов Д.Н. 293,,,,,,,КПО доц. Вахтин А.А. 292,,,,,,,,,,,,,,Инсталляция и настройка ПО Сафронов 2/25,,,,,,,,,,,,
,16:55-18:30,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,,,,,,,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,,,,,,,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,,,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,,Основы российской государственности ст.преп. Гаршин Н.А. (ДО),,,,,,,,,,,,,,,Ин.яз. преп. Семенов В.П.  301П,,,Физическая культура и спорт,,,,Физическая культура и спорт,,Математический анализ доц. Канищева О.И. 505П,,,Физическая культура и спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Военная подготовка,,,,,,,,ТОИ ст.преп. Акимов А.В. 383,,,,,,,,НИР,,,,,,КПО ст.преп. Шилов С.Н.  295,КПО ст.преп. Шилов С.Н.  295,,,Безопасность систем баз данных проф. Храмов В.Ю. 316П,Безопасность систем баз данных проф. Храмов В.Ю. 316П,Администрирование и управление безопасностью интранет- сетей доц. Чернышов М.К. 290,Администрирование и управление безопасностью интранет- сетей доц. Чернышов М.К. 290,,,,,,,,,,,,,
,,Экономика и финансовая грамотность (id=17661) доц. Павлова Е.А. (ДО) ,,,,,,,,Экономика и финансовая грамотность (id=17661) доц. Павлова Е.А. (ДО),,,,,,,,,,,,Введение в специальность доц. Филиппова Н.В. (ДО),,Экономика и финансовая грамотность (id=17661) доц. Павлова Е.А. (ДО) ,,,История России доц. Лавлинский С.А. (ДО),,Ин.яз. преп. Семенов В.П. (ДО),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Физическая культура и спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:40-20:00,,,"Экономика и финансовая грамотность (id=17661) 
доц. Павлова Е.А. (ДО)",,,,,,,,История России доц. Лавлинский С.А. (ДО),,,,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х.   (ДО),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,КПО ст.преп. Шилов С.Н.  316П,КПО ст.преп. Шилов С.Н.  316П,ОУИБ ст.преп. Ульянов В.А. 295,ОУИБ ст.преп. Ульянов В.А. 295,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х. (ДО),,,,,,,,,,,,,,,,,,,,,,,,,Разработка приложений на C++ асс. Пузатых М.С. 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:10-21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вторник,8:00 - 9:35,,,,,,,Введение в прогр. асс. Чиркин А.Ю. 291,,,,,,,,,,,Ин.яз. доц. Вострикова И.Ю. 301П,,,,,,,,,,,,Дифференциальные уравнения доц. Некрасова Н.Н. 479,,Теория вероятностей ст.преп. Некипелов Е.А. 505П,,ДМ ст.преп. Стукалова И.В. 314П,Ин.яз. преп. Гавриш О.А. 309П,,Ин.яз. преп. Барсукова Н.В. 303П,,,Дифференциальные уравнения доц. Атанов А.В. 305П,,ДМ доц. Каверина В.К.  297,БД асс. Бондарева Л.О. 381,Теория вероятностей и математическая статистика ст.преп. Попова А.Е. 477,,,,Разработка приложений на C++ асс. Пузатых М.С. 290,Разработка приложений на C++ асс. Пузатых М.С. 290,Ин.яз. преп. Семенов В.П. 308П,Объектно-ориентированное программирование ст.преп. Нужных А.В. 293,,,,,,,,,,,,,,,,,,,,,,,,,,Методы и средства криптографической защиты информации (id=5626) доц. Дрюченко М.А. (ДО) ,,,,,Военная кафедра,,,НИР,НИР,,,,,,,,,,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. (ДО),Технологии искусственного интеллекта  доц. Илларионов И.В. (ДО),,,,,,,,,,,ВУЦ,ВУЦ,,НИР,НИР,,,,,,,,
,,,,,Ин.яз.  преп. Барсукова Н.В.  308П,,,Ин.яз. преп. Землянухина В.А.  307П,,,,,,,,,,Ин.яз. доц. Вострикова И.Ю.  303П,,,,,,,,,,,,,Ин.яз. преп. Гавриш О.А. 309П,ДМ ст.преп. Стукалова И.В. 297,,,Дифференциальные уравнения доц. Некрасова Н.Н. 292,,,,Дискретная математика доц. Каверина В.К. 479,,,,,,,,,,,,Объектно-ориентированное программирование ст.преп. Нужных А.В. 293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Технологии искусственного интеллекта  доц. Илларионов И.В. (ДО),,,,,,,,,,,,,,,,,,,,,,,,
